temp,pression,hum,CO,CO2,PM2.5,PM10,feu
28.1,943.136264611406,30.5099085026976,0.5,398.101081848144,7.1,10.3,0
9,942.441337743001,100,0.5,470.790138244628,3.2,8.3,0
19.99,942.809973785176,44.2393591564328,0.5,397.880544662475,0.7,2.6,0
27.63,943.663483445943,34.3840948064968,0.5,398.012866973876,3.3,7.3,0
12.96,945.781590526789,100,0.5,491.167774200439,2.1,3.9,0
10.52,940.107809158705,100,0.5,498.786439895629,3.2,9.2,0
10.22,940.612255275979,100,0.5,535.586347579956,3.2,10.9,0
11.46,942.669935821074,100,0.5,460.068454742431,3.4,11,0
11.55,942.668554423749,100,0.5,461.09842300415,3.4,11.4,0
11.52,942.080096469844,100,0.5,466.137399673461,2.9,8.8,0
18.85,943.512468552003,49.3486932566751,0.5,397.885313034057,0.8,3.2,0
16.92,939.917176201436,47.3012044598604,0.5,409.682264328002,3.2,10.1,0
9.14,941.249352478053,100,0.5,502.831211090087,4.3,6.4,0
16.91,939.730872806059,46.861004846866,0.5,409.725179672241,3.9,12.1,0
19.57,940.401512508343,55.5173984884505,0.5,425.899496078491,4.2,5.7,0
18.5,944.366320054351,52.6578471211628,0.5,397.770872116088,3.8,10,0
14.12,938.428934151967,100,0.5,514.225234985351,4.3,6.6,0
11.3,944.493997090662,100,0.5,513.915290832519,2.3,6.2,0
40.9,945.021162030868,19.1825290102676,0.5,398.865213394165,2.4,5.7,0
18.64,942.499194498202,68.0511091462746,0.5,415.782203674316,4.7,6.1,0
12.65,932.701162477626,100,1.3,490.955581665039,7.1,21.9,0
20.25,939.984614011355,49.8790136249444,0.5,397.917499542236,4,5,0
9.81,941.292118415705,100,0.5,504.698028564453,3.7,4.8,0
30.16,943.856290911416,29.8077903299436,0.5,399.1477394104,3.9,10.1,0
13.47,938.589205410907,100,0.5,525.060167312622,4,5.8,0
15.23,934.08858067187,86.624126820076,0.5,511.191358566284,8.6,29.3,0
14.61,944.411705113595,100,0.5,446.297397613525,0.9,3,0
17.06,939.783020813293,40.0995318236547,0.5,404.725542068481,4.1,12.1,0
31.88,942.351809119644,27.2001799935186,0.5,449.834337234497,8.2,10.4,0
13.07,939.912284648752,100,0.5,413.368215560913,3.5,8.9,0
16.78,940.060167690253,47.407264833606,0.5,410.647859573364,3.1,9.1,0
13.13,939.141652159019,100,0.5,522.084703445434,3.8,4.8,0
17.15,939.679621717497,46.4131763285978,0.5,414.728393554687,3.9,11.8,0
10.11,941.433648860263,100,0.5,516.878833770751,3.5,3.9,0
16.83,942.977624704852,59.7994999961413,0.5,397.633781433105,5.2,6.6,0
37.06,945.156031820321,21.7946342453851,0.5,404.40725326538,2.5,5.7,0
11.02,943.080588154474,100,0.5,463.084449768066,3.4,10.1,0
9.01,942.340287047952,100,0.5,471.888055801391,3.2,8.1,0
9.62,942.056452458781,100,0.5,486.867895126342,7.5,9.1,0
12.65,940.988588725728,100,0.5,495.982637405395,3.3,9.3,0
9.81,942.101784773703,100,0.5,486.840476989746,7.4,8.9,0
18.99,933.13979321948,75.6314545318769,218.4,1841.93419456481,45.5,60.2,1
19.36,940.744248930267,53.6924847755595,0.5,406.75329208374,4.9,7.1,0
19.8,940.054055811623,54.1596408194987,0.5,418.876876831054,4.2,5.6,0
11.04,940.932073957787,100,0.5,522.761812210083,3.8,5.1,0
41.71,944.956429457361,18.4938225195467,0.5,404.785146713256,2.3,4.6,0
10.68,939.68769060361,100,0.5,514.77478981018,3.2,9.4,0
16.01,940.001442187201,49.1604312965416,0.5,397.702922821044,3.4,9.8,0
9.06,941.983912736449,100,0.5,499.698390960693,7.7,9.5,0
40.51,944.977309073472,19.2153285323731,0.5,398.767461776733,2.4,5.3,0
12,945.351795151117,100,0.5,501.038303375244,2.2,4.2,0
33.15,937.180061095149,35.3972962738265,27.9,492.740144729614,999.9,1999.9,1
17.12,940.516059343031,50.584526664298,0.5,404.689779281616,3.6,9.8,0
18.69,942.765399382672,59.1302146676036,0.5,428.631772994995,5.6,7.4,0
12.86,940.146387054206,100,0.5,494.040718078613,4.1,6.1,0
10.06,942.635892317515,100,0.5,480.931272506713,3.1,7.6,0
18.54,943.043817921979,65.2105015007742,0.5,411.665906906127,0.8,2,0
15.1,944.077032506495,100,0.5,454.255809783935,1,2.7,0
11.37,940.469150208105,100,0.5,505.847206115722,3.2,9.6,0
17.41,939.832544882773,42.1001049224837,0.5,401.816835403442,4.1,12,0
12.76,941.788381332786,100,0.5,502.068271636962,3.4,9.6,0
11.22,944.441682234763,100,0.5,501.96813583374,2.5,5.7,0
18.58,944.260208781783,51.5661119298408,0.5,397.791137695312,3.8,9.8,0
41.24,944.896370287792,19.000256040257,0.5,404.785146713256,2.3,4.7,0
11.44,942.60339702093,100,0.5,458.162298202514,3.4,11.4,0
20.12,941.896028133118,54.7729170079487,0.5,417.831411361694,5.4,8,0
12.17,945.781614226241,100,0.5,485.115518569946,2.2,5.3,0
10.78,942.783166411936,100,0.5,466.049184799194,3.4,10,0
8.68,941.239473268125,100,0.5,491.606464385986,7.3,10.3,0
